states,value,probable_moves
000001011,0.5,"{'state': ['100001011', '010001011', '001001011', '000101011', '000011011', '000001111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000001012,0.5,"{'state': ['100001012', '010001012', '001001012', '000101012', '000011012', '000001112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000001020,0.5,"{'state': ['100001020', '010001020', '001001020', '000101020', '000011020', '000001120', '000001021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 2)]}"
000001021,0.5,"{'state': ['100001021', '010001021', '001001021', '000101021', '000011021', '000001121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000001022,0.5,"{'state': ['100001022', '010001022', '001001022', '000101022', '000011022', '000001122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000001100,0.5,"{'state': ['100001100', '010001100', '001001100', '000101100', '000011100', '000001110', '000001101'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1), (2, 2)]}"
000001101,0.5,"{'state': ['100001101', '010001101', '001001101', '000101101', '000011101', '000001111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000001102,0.5,"{'state': ['100001102', '010001102', '001001102', '000101102', '000011102', '000001112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000001110,0.5,"{'state': ['100001110', '010001110', '001001110', '000101110', '000011110', '000001111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000001111,1.0,"{'state': ['100001111', '010001111', '001001111', '000101111', '000011111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000001112,0.5,"{'state': ['100001112', '010001112', '001001112', '000101112', '000011112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000001120,0.5,"{'state': ['100001120', '010001120', '001001120', '000101120', '000011120', '000001121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000001121,0.5,"{'state': ['100001121', '010001121', '001001121', '000101121', '000011121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000001122,0.5,"{'state': ['100001122', '010001122', '001001122', '000101122', '000011122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000001200,0.5,"{'state': ['100001200', '010001200', '001001200', '000101200', '000011200', '000001210', '000001201'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1), (2, 2)]}"
000001201,0.5,"{'state': ['100001201', '010001201', '001001201', '000101201', '000011201', '000001211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000001202,0.5,"{'state': ['100001202', '010001202', '001001202', '000101202', '000011202', '000001212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000001210,0.5,"{'state': ['100001210', '010001210', '001001210', '000101210', '000011210', '000001211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000001211,0.5,"{'state': ['100001211', '010001211', '001001211', '000101211', '000011211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000001212,0.5,"{'state': ['100001212', '010001212', '001001212', '000101212', '000011212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000001220,0.5,"{'state': ['100001220', '010001220', '001001220', '000101220', '000011220', '000001221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000001221,0.5,"{'state': ['100001221', '010001221', '001001221', '000101221', '000011221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000001222,0.5,"{'state': ['100001222', '010001222', '001001222', '000101222', '000011222'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002000,0.5,"{'state': ['100002000', '010002000', '001002000', '000102000', '000012000', '000002100', '000002010', '000002001'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 1), (2, 2)]}"
000002001,0.5,"{'state': ['100002001', '010002001', '001002001', '000102001', '000012001', '000002101', '000002011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 1)]}"
000002002,0.5,"{'state': ['100002002', '010002002', '001002002', '000102002', '000012002', '000002102', '000002012'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 1)]}"
000002010,0.5,"{'state': ['100002010', '010002010', '001002010', '000102010', '000012010', '000002110', '000002011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 2)]}"
000002011,0.5,"{'state': ['100002011', '010002011', '001002011', '000102011', '000012011', '000002111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000002012,0.5,"{'state': ['100002012', '010002012', '001002012', '000102012', '000012012', '000002112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000002020,0.5,"{'state': ['100002020', '010002020', '001002020', '000102020', '000012020', '000002120', '000002021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 2)]}"
000002021,0.5,"{'state': ['100002021', '010002021', '001002021', '000102021', '000012021', '000002121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000002022,0.5,"{'state': ['100002022', '010002022', '001002022', '000102022', '000012022', '000002122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000002100,0.5,"{'state': ['100002100', '010002100', '001002100', '000102100', '000012100', '000002110', '000002101'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1), (2, 2)]}"
000002101,0.5,"{'state': ['100002101', '010002101', '001002101', '000102101', '000012101', '000002111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000002102,0.5,"{'state': ['100002102', '010002102', '001002102', '000102102', '000012102', '000002112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000002110,0.5,"{'state': ['100002110', '010002110', '001002110', '000102110', '000012110', '000002111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000002111,1.0,"{'state': ['100002111', '010002111', '001002111', '000102111', '000012111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002112,0.5,"{'state': ['100002112', '010002112', '001002112', '000102112', '000012112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002120,0.5,"{'state': ['100002120', '010002120', '001002120', '000102120', '000012120', '000002121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000002121,0.5,"{'state': ['100002121', '010002121', '001002121', '000102121', '000012121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002122,0.5,"{'state': ['100002122', '010002122', '001002122', '000102122', '000012122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002200,0.5,"{'state': ['100002200', '010002200', '001002200', '000102200', '000012200', '000002210', '000002201'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1), (2, 2)]}"
000002201,0.5,"{'state': ['100002201', '010002201', '001002201', '000102201', '000012201', '000002211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000002202,0.5,"{'state': ['100002202', '010002202', '001002202', '000102202', '000012202', '000002212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 1)]}"
000002210,0.5,"{'state': ['100002210', '010002210', '001002210', '000102210', '000012210', '000002211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000002211,0.5,"{'state': ['100002211', '010002211', '001002211', '000102211', '000012211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002212,0.5,"{'state': ['100002212', '010002212', '001002212', '000102212', '000012212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002220,0.5,"{'state': ['100002220', '010002220', '001002220', '000102220', '000012220', '000002221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 2)]}"
000002221,0.5,"{'state': ['100002221', '010002221', '001002221', '000102221', '000012221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000002222,0.5,"{'state': ['100002222', '010002222', '001002222', '000102222', '000012222'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1)]}"
000010000,0.5,"{'state': ['100010000', '010010000', '001010000', '000110000', '000011000', '000010100', '000010010', '000010001'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0), (2, 1), (2, 2)]}"
000010001,0.5,"{'state': ['100010001', '010010001', '001010001', '000110001', '000011001', '000010101', '000010011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0), (2, 1)]}"
000010002,0.5,"{'state': ['100010002', '010010002', '001010002', '000110002', '000011002', '000010102', '000010012'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0), (2, 1)]}"
000010010,0.5,"{'state': ['100010010', '010010010', '001010010', '000110010', '000011010', '000010110', '000010011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0), (2, 2)]}"
000010011,0.5,"{'state': ['100010011', '010010011', '001010011', '000110011', '000011011', '000010111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0)]}"
000010012,0.5,"{'state': ['100010012', '010010012', '001010012', '000110012', '000011012', '000010112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0)]}"
000010020,0.5,"{'state': ['100010020', '010010020', '001010020', '000110020', '000011020', '000010120', '000010021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0), (2, 2)]}"
000010021,0.5,"{'state': ['100010021', '010010021', '001010021', '000110021', '000011021', '000010121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0)]}"
000010022,0.5,"{'state': ['100010022', '010010022', '001010022', '000110022', '000011022', '000010122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 0)]}"
000010100,0.5,"{'state': ['100010100', '010010100', '001010100', '000110100', '000011100', '000010110', '000010101'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 1), (2, 2)]}"
000010101,0.5,"{'state': ['100010101', '010010101', '001010101', '000110101', '000011101', '000010111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 1)]}"
000010102,0.5,"{'state': ['100010102', '010010102', '001010102', '000110102', '000011102', '000010112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 1)]}"
000010110,0.5,"{'state': ['100010110', '010010110', '001010110', '000110110', '000011110', '000010111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 2)]}"
000010111,1.0,"{'state': ['100010111', '010010111', '001010111', '000110111', '000011111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
000010112,0.5,"{'state': ['100010112', '010010112', '001010112', '000110112', '000011112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
000010120,0.5,"{'state': ['100010120', '010010120', '001010120', '000110120', '000011120', '000010121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 2)]}"
000010121,0.5,"{'state': ['100010121', '010010121', '001010121', '000110121', '000011121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
000010122,0.5,"{'state': ['100010122', '010010122', '001010122', '000110122', '000011122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
