states,value,probable_moves
000000000,0.5,"{'state': ['200000000', '020000000', '002000000', '000200000', '000020000', '000002000', '000000200', '000000020', '000000002'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1), (2, 2)]}"
000000001,0.5,"{'state': ['200000001', '020000001', '002000001', '000200001', '000020001', '000002001', '000000201', '000000021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1)]}"
000000002,0.5,"{'state': ['200000002', '020000002', '002000002', '000200002', '000020002', '000002002', '000000202', '000000022'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1)]}"
000000010,0.5,"{'state': ['200000010', '020000010', '002000010', '000200010', '000020010', '000002010', '000000210', '000000012'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 2)]}"
000000011,0.5,"{'state': ['200000011', '020000011', '002000011', '000200011', '000020011', '000002011', '000000211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000012,0.5,"{'state': ['200000012', '020000012', '002000012', '000200012', '000020012', '000002012', '000000212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000020,0.5,"{'state': ['200000020', '020000020', '002000020', '000200020', '000020020', '000002020', '000000220', '000000022'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 2)]}"
000000021,0.5,"{'state': ['200000021', '020000021', '002000021', '000200021', '000020021', '000002021', '000000221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000022,0.5,"{'state': ['200000022', '020000022', '002000022', '000200022', '000020022', '000002022', '000000222'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000100,0.5,"{'state': ['200000100', '020000100', '002000100', '000200100', '000020100', '000002100', '000000120', '000000102'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1), (2, 2)]}"
000000101,0.5,"{'state': ['200000101', '020000101', '002000101', '000200101', '000020101', '000002101', '000000121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000102,0.5,"{'state': ['200000102', '020000102', '002000102', '000200102', '000020102', '000002102', '000000122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000110,0.5,"{'state': ['200000110', '020000110', '002000110', '000200110', '000020110', '000002110', '000000112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 2)]}"
000000111,0.5,"{'state': ['200000111', '020000111', '002000111', '000200111', '000020111', '000002111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000112,0.5,"{'state': ['200000112', '020000112', '002000112', '000200112', '000020112', '000002112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000120,0.5,"{'state': ['200000120', '020000120', '002000120', '000200120', '000020120', '000002120', '000000122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 2)]}"
000000121,0.5,"{'state': ['200000121', '020000121', '002000121', '000200121', '000020121', '000002121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000122,0.5,"{'state': ['200000122', '020000122', '002000122', '000200122', '000020122', '000002122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000200,0.5,"{'state': ['200000200', '020000200', '002000200', '000200200', '000020200', '000002200', '000000220', '000000202'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1), (2, 2)]}"
000000201,0.5,"{'state': ['200000201', '020000201', '002000201', '000200201', '000020201', '000002201', '000000221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000202,0.5,"{'state': ['200000202', '020000202', '002000202', '000200202', '000020202', '000002202', '000000222'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000210,0.5,"{'state': ['200000210', '020000210', '002000210', '000200210', '000020210', '000002210', '000000212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 2)]}"
